season,date,runner_id,pitcher_id,catcher_id,batter_id,target_base,steal_of_third,steal_of_home,inning,late_inning,outs,balls,strikes,score_diff,close_game,runner_bats_lhb,pitcher_throws_lhp,is_double_steal,runner_on_third,runner_prior_sr,runner_prior_att,pitcher_prior_sr_allowed,catcher_prior_cs_rate,batter_prior_avg,batter_prior_obp,batter_prior_slg,batter_prior_hr_pct,batter_prior_pa,runner_sprint_speed,runner_sprint_speed_missing,runner_age,runner_age_missing,catcher_pop_time,catcher_pop_time_missing,success
2023,2023/03/30,matej003,klubc001,mcgur002,mullc002,2,0,0,4,0,1,0,1,2,0,0,0,0,1,0.75,0,0.75,0.2,0.2385,0.3048,0.3942,0.0288,2,30.1,0,28.0,0,1.98,0,1
2023,2023/03/30,fraza001,brasr001,mcgur002,matej003,2,0,0,5,0,2,1,0,3,0,1,0,0,0,0.75,0,0.75,0.1667,0.2577,0.324,0.4135,0.0288,2,26.5,0,31.0,0,1.98,0,1
2023,2023/03/30,matej003,brasr001,mcgur002,mullc002,2,0,0,5,0,2,1,0,4,0,0,0,0,0,0.7917,1,0.7917,0.1429,0.2385,0.3179,0.3942,0.0283,3,30.1,0,28.0,0,1.98,0,1
2023,2023/03/30,mullc002,brasr001,mcgur002,rutsa001,2,0,0,5,0,2,0,0,4,0,1,0,0,1,0.75,0,0.8214,0.125,0.2769,0.3557,0.4904,0.0472,3,28.0,0,28.0,0,1.98,0,1
2023,2023/03/30,mullc002,ort-k001,mcgur002,rutsa001,2,0,0,7,1,1,1,0,5,0,1,0,0,0,0.7917,1,0.75,0.1111,0.2906,0.3676,0.5,0.0463,4,28.0,0,28.0,0,1.98,0,1
2023,2023/03/30,bae-j001,greeh001,stept001,hedga001,3,1,0,4,0,1,0,0,0,1,1,0,0,0,0.75,0,0.75,0.2,0.2431,0.3108,0.402,0.0294,1,29.7,0,23.0,0,2.01,0,1
2023,2023/03/30,bae-j001,farmb001,stept001,hedga001,2,0,0,8,1,0,0,0,0,1,1,0,0,0,0.7917,1,0.75,0.1667,0.2385,0.3179,0.3942,0.0283,3,29.7,0,23.0,0,2.01,0,1
2023,2023/03/30,stees001,holdc001,hedga001,bensw001,2,0,0,8,1,1,2,2,-1,1,0,0,0,0,0.75,0,0.75,0.2,0.234,0.2991,0.3868,0.0283,3,28.4,0,25.0,0,1.95,0,0
2023,2023/03/30,penaj004,ceasd001,grany001,alvay001,2,0,0,1,0,1,1,2,0,1,0,0,0,0,0.75,0,0.75,0.2,0.248,0.317,0.41,0.03,0,29.4,0,25.0,0,2.08,0,1
2023,2023/03/30,marts002,alcas001,stalj001,alonp001,2,0,0,4,0,1,0,0,1,1,0,0,0,0,0.75,0,0.75,0.2,0.2431,0.3108,0.402,0.0294,1,27.1,0,34.0,0,1.97,0,1
2023,2023/03/30,estrt001,coleg001,trevj001,sabob001,2,0,0,2,0,2,1,1,-1,1,0,0,0,0,0.75,0,0.75,0.2,0.248,0.317,0.41,0.03,0,28.1,0,27.0,0,1.99,0,1
